id,gender,monetary,recency,frequency,duration,purchase
10932,F,117,8,5,20,0
10933,M,61,14,2,22,0
10934,M,80,2,2,6,1
10935,M,180,22,2,26,0
10936,F,257,2,7,34,0
10937,F,163,10,2,18,1
10938,F,317,10,10,60,1
10939,M,171,10,1,10,0
10940,F,224,28,2,32,0
10941,F,249,10,11,46,1
10942,M,123,14,4,32,0
10943,F,278,14,9,60,0
10944,F,30,14,2,20,0
10945,F,221,12,2,20,0
10946,F,346,24,4,44,0
10947,F,310,10,1,10,0
10948,F,24,14,1,14,0
10949,F,373,16,8,60,0
10950,F,75,14,1,14,0
10951,M,416,28,12,92,1
10952,F,200,22,1,22,0
10953,F,280,2,12,34,0
10954,F,137,16,1,16,0
10955,F,271,4,5,16,0
10956,F,177,10,2,18,0
10957,M,210,34,5,54,1
10958,F,336,2,12,28,0
10959,F,184,6,5,32,0
10960,M,452,10,11,42,0
10961,F,236,16,10,46,0
10962,M,186,16,1,16,0
10963,M,243,2,7,40,0
10964,M,285,26,3,38,0
10965,F,329,14,2,22,0
10966,F,266,2,6,30,0
10967,F,117,20,2,28,0
10968,M,276,6,1,6,0
10969,F,47,16,2,18,0
10970,F,77,12,1,12,0
10971,M,258,22,2,30,0
10972,M,323,16,10,44,0
10973,F,313,12,1,12,0
10974,F,180,14,1,14,0
10975,F,264,12,2,20,0
10976,M,248,4,5,24,0
10977,F,302,4,2,10,0
10978,F,73,12,1,12,0
10979,F,298,4,1,4,0
10980,F,276,14,1,14,0
10981,M,182,16,1,16,0
10982,F,92,14,1,14,0
10983,F,272,10,10,52,0
10984,F,121,10,2,16,0
10985,F,258,12,1,12,0
10986,F,69,12,1,12,0
10987,M,277,20,1,20,0
10988,F,109,12,2,20,0
10989,M,213,10,3,22,1
10990,M,192,12,4,22,0
10991,F,294,12,5,24,0
10992,F,325,24,2,32,0
10993,F,358,12,5,40,0
10994,F,248,10,1,10,0
10995,M,18,2,1,2,0
10996,F,400,10,10,34,1
10997,M,317,10,12,80,0
10998,M,42,32,2,34,0
10999,F,419,14,8,48,0
11000,F,87,12,1,12,0
11001,F,194,8,2,10,0
11002,M,196,2,2,6,0
11003,F,264,10,8,32,0
11004,F,320,10,10,50,0
11005,F,200,20,2,24,0
11006,F,212,2,2,6,0
11007,M,218,10,2,18,0
11008,F,160,24,2,30,0
11009,F,202,10,2,14,0
11010,F,31,6,1,6,0
11011,F,284,10,1,10,0
11012,F,268,14,2,18,0
11013,F,214,12,7,40,0
11014,F,124,30,7,62,0
11015,M,183,8,12,66,1
11016,M,329,12,2,16,0
11017,F,128,8,1,8,0
11018,F,99,8,3,24,0
11019,M,236,12,2,16,1
11020,F,197,14,2,18,0
11021,F,68,10,2,16,0
11022,M,328,34,11,98,0
11023,M,151,8,1,8,1
11024,M,149,12,2,18,0
11025,F,196,4,1,4,0
11026,F,249,6,2,14,0
11027,F,292,12,2,18,0
11028,F,47,30,2,36,0
11029,M,196,36,10,64,0
11030,F,228,6,1,6,0
11031,M,74,12,2,14,0
11032,M,324,14,2,20,0
11033,F,97,4,2,6,0
11034,M,353,2,4,10,0
11035,M,117,28,1,28,0
11036,F,81,4,5,32,0
11037,F,88,18,2,26,0
11038,F,327,22,2,28,0
11039,F,280,10,7,32,0
11040,F,305,10,1,10,0
11041,M,120,10,1,10,0
11042,F,187,10,4,30,0
11043,M,255,20,2,26,0
11044,M,168,12,1,12,0
11045,M,240,16,2,18,1
11046,M,199,12,11,52,0
11047,F,104,14,2,20,0
11048,F,189,12,1,12,0
11049,F,194,16,1,16,0
11050,F,274,22,2,26,0
11051,F,264,16,5,42,0
11052,F,241,12,1,12,0
11053,M,316,14,4,34,0
11054,M,74,32,2,36,0
11055,F,132,2,1,2,0
11056,F,101,6,2,10,0
11057,M,65,10,1,10,0
11058,F,281,14,1,14,0
11059,F,24,14,1,14,0
11060,F,98,2,2,8,0
11061,M,97,6,1,6,1
11062,F,145,12,1,12,0
11063,F,302,18,2,26,0
11064,M,179,32,2,38,0
11065,M,174,12,11,48,0
11066,F,71,14,2,20,0
11067,M,103,6,2,8,0
11068,M,264,4,2,12,0
11069,F,383,16,7,44,0
11070,F,268,14,10,62,0
11071,F,231,4,1,4,0
11072,F,230,16,12,84,0
11073,F,18,8,1,8,0
11074,F,293,2,2,8,0
11075,F,145,16,2,22,0
11076,M,139,30,2,34,0
11077,M,267,6,3,12,1
11078,F,260,4,5,32,0
11079,F,238,14,1,14,0
11080,M,194,14,2,22,0
11081,F,86,14,2,18,0
11082,F,252,10,1,10,0
11083,M,163,14,2,20,0
11084,F,22,32,1,32,0
11085,M,431,18,10,42,0
11086,F,202,10,1,10,0
11087,F,60,34,1,34,0
11088,M,98,12,2,16,0
11089,M,136,6,5,28,1
11090,F,104,4,1,4,0
11091,F,30,10,1,10,0
11092,F,324,20,2,28,0
11093,F,263,12,8,58,0
11094,F,297,14,10,72,0
11095,F,312,10,1,10,0
11096,F,129,10,1,10,0
11097,M,60,30,1,30,0
11098,F,269,6,1,6,0
11099,F,125,16,2,22,0
11100,F,391,12,11,66,0
11101,F,257,2,1,2,0
11102,M,119,18,7,32,0
11103,F,205,4,2,6,0
11104,M,162,14,1,14,0
11105,F,311,14,2,22,0
11106,F,143,4,6,38,0
11107,M,143,2,1,2,0
11108,F,283,8,2,16,0
11109,M,97,6,2,10,0
11110,F,215,16,6,34,0
11111,F,189,8,4,18,0
11112,M,301,6,2,10,0
11113,M,310,30,5,44,0
11114,F,400,14,10,62,0
11115,F,322,10,2,16,0
11116,M,191,28,1,28,0
11117,M,56,20,1,20,0
11118,F,275,30,7,72,0
11119,F,285,22,1,22,0
11120,M,196,2,6,32,0
11121,F,122,4,1,4,0
11122,F,288,4,1,4,0
11123,F,363,2,12,28,0
11124,M,222,10,1,10,0
11125,F,209,4,1,4,0
11126,F,186,28,12,62,0
11127,M,163,6,8,46,0
11128,F,301,14,4,34,0
11129,M,263,6,1,6,0
11130,F,235,10,5,36,0
11131,F,302,10,1,10,0
11132,F,446,16,11,46,0
11133,F,252,16,2,22,0
11134,F,353,8,9,38,0
11135,F,93,16,4,24,0
11136,F,219,4,1,4,0
11137,M,129,4,3,18,1
11138,F,51,4,2,12,0
11139,F,265,8,2,12,0
11140,F,25,4,1,4,0
11141,F,35,18,2,22,0
11142,M,150,2,10,28,0
11143,F,149,6,5,20,0
11144,F,147,6,4,18,0
11145,F,245,34,2,40,0
11146,F,353,16,10,54,0
11147,F,244,16,2,20,0
11148,F,83,30,2,38,0
11149,F,136,6,1,6,0
11150,M,114,16,1,16,0
11151,F,244,32,1,32,0
11152,F,274,12,1,12,0
11153,F,73,6,1,6,0
11154,F,194,18,2,22,0
11155,F,334,8,9,28,0
11156,F,201,12,2,16,0
11157,M,47,34,1,34,0
11158,F,197,10,2,18,0
11159,F,140,16,2,24,0
11160,F,64,32,1,32,0
11161,F,89,4,2,6,1
11162,F,46,14,1,14,0
11163,F,465,6,12,60,0
11164,M,154,16,2,20,0
11165,F,146,28,2,36,0
11166,F,271,10,1,10,0
11167,M,162,10,6,22,0
11168,F,389,14,11,54,0
11169,F,265,16,1,16,0
11170,M,163,14,1,14,0
11171,F,280,4,2,8,1
11172,F,216,14,2,20,0
11173,F,293,6,1,6,0
11174,M,278,28,7,60,0
11175,M,283,8,12,62,1
11176,F,46,24,2,32,0
11177,F,275,8,1,8,0
11178,F,55,14,1,14,0
11179,F,315,4,2,6,0
11180,F,219,10,5,34,0
11181,F,266,10,9,50,1
11182,F,105,8,2,14,0
11183,F,185,26,1,26,0
11184,F,88,32,1,32,0
11185,F,283,14,9,46,0
11186,F,153,14,7,46,0
11187,F,264,16,1,16,0
11188,F,69,10,1,10,0
11189,F,240,2,2,8,1
11190,F,175,14,2,18,0
11191,M,111,12,2,16,0
11192,F,369,10,9,42,0
11193,F,21,16,1,16,0
11194,M,55,18,1,18,0
11195,F,294,14,2,22,0
11196,M,206,30,11,78,0
11197,F,182,34,1,34,0
11198,F,62,12,2,14,0
11199,F,144,12,1,12,1
11200,M,235,18,1,18,0
11201,M,32,16,1,16,0
11202,F,195,30,1,30,0
11203,F,17,18,1,18,0
11204,F,291,26,6,58,0
11205,M,74,2,2,6,1
11206,F,180,22,2,24,0
11207,F,117,16,7,54,0
11208,F,383,12,11,50,0
11209,F,102,10,1,10,0
11210,F,35,18,2,26,0
11211,F,135,16,3,26,0
11212,M,313,6,12,70,0
11213,F,168,14,1,14,0
11214,M,140,10,1,10,0
11215,F,294,6,2,8,0
11216,F,149,14,3,22,0
11217,F,163,6,2,8,1
11218,F,281,12,1,12,0
11219,M,156,12,2,16,0
11220,F,225,36,2,44,0
11221,F,291,14,2,16,0
11222,F,307,36,5,60,0
11223,M,412,6,12,62,0
11224,M,203,8,2,12,0
11225,M,219,24,7,60,0
11226,F,353,6,4,22,0
11227,F,131,16,1,16,0
11228,F,280,6,1,6,0
11229,F,149,16,2,20,0
11230,F,359,18,9,48,0
11231,F,235,2,1,2,0
11232,M,50,14,1,14,0
11233,F,167,16,6,50,0
11234,F,264,14,2,22,0
11235,F,70,2,1,2,1
11236,F,118,12,1,12,0
11237,F,130,10,6,36,0
11238,M,101,14,4,26,0
11239,F,64,10,1,10,0
11240,M,298,16,2,22,0
11241,F,306,14,8,48,0
11242,M,403,4,9,26,0
11243,F,251,4,2,8,1
11244,F,282,28,1,28,0
11245,M,20,14,1,14,0
11246,M,32,12,2,18,0
11247,F,332,16,4,24,0
11248,F,246,18,1,18,0
11249,M,458,12,12,68,0
11250,M,35,14,2,20,0
11251,F,327,4,9,38,0
11252,F,254,4,2,8,0
11253,M,285,12,2,14,0
11254,M,272,8,6,24,0
11255,F,237,16,2,20,0
11256,F,151,10,3,24,0
11257,F,137,14,1,14,0
11258,F,136,16,3,30,1
11259,M,477,12,12,48,0
11260,M,262,4,1,4,0
11261,F,157,26,1,26,0
11262,F,360,16,9,54,0
11263,F,120,8,5,24,0
11264,F,217,10,2,16,0
11265,M,119,12,7,32,0
11266,M,310,14,1,14,0
11267,F,84,16,2,24,0
11268,M,180,4,1,4,0
11269,F,79,10,2,14,0
11270,M,52,6,2,14,0
11271,F,57,12,2,18,0
11272,M,311,16,11,46,0
11273,F,282,10,2,18,0
11274,M,137,18,2,24,0
11275,F,103,22,2,28,0
11276,F,160,8,2,12,0
11277,F,201,12,3,28,0
11278,M,139,4,1,4,0
11279,F,314,8,2,14,0
11280,M,331,26,7,42,0
11281,F,120,2,1,2,0
11282,F,288,30,1,30,1
11283,F,217,14,2,20,0
11284,F,307,6,12,76,1
11285,M,103,10,1,10,0
11286,F,71,16,2,22,0
11287,F,292,12,5,30,0
11288,F,264,8,1,8,0
11289,F,300,12,10,68,0
11290,F,141,12,5,34,0
11291,F,285,12,11,76,0
11292,F,176,36,3,44,0
11293,F,255,12,11,74,0
11294,F,61,22,1,22,0
11295,F,265,28,4,46,0
11296,F,156,22,2,28,0
11297,F,114,32,2,40,0
11298,M,300,34,1,34,0
11299,F,346,10,11,66,0
11300,F,200,4,9,30,0
11301,M,279,12,2,18,0
11302,F,161,2,5,14,0
11303,F,345,12,10,34,0
11304,F,128,12,1,12,0
11305,F,343,12,9,46,0
11306,F,156,14,7,30,0
11307,F,107,2,2,6,0
11308,F,31,8,2,12,0
11309,F,193,8,6,36,0
11310,M,290,14,1,14,1
11311,F,269,10,1,10,0
11312,F,254,4,2,12,0
11313,F,100,12,4,32,0
11314,M,125,10,1,10,0
11315,F,175,12,1,12,0
11316,F,96,6,2,8,0
11317,F,62,10,4,28,0
11318,F,49,14,1,14,0
11319,F,309,4,11,40,0
11320,M,177,12,3,24,0
11321,F,239,36,2,42,0
11322,M,304,2,3,10,1
11323,M,354,6,10,56,0
11324,M,202,28,2,30,0
11325,M,233,16,1,16,0
11326,M,232,12,1,12,0
11327,F,210,12,1,12,0
11328,M,17,12,1,12,0
11329,F,163,2,1,2,0
11330,F,212,8,2,14,0
11331,F,57,26,1,26,0
11332,F,182,10,1,10,0
11333,F,66,12,2,20,0
11334,F,362,24,11,78,0
11335,M,190,22,11,72,0
11336,M,94,8,2,12,0
11337,F,109,30,1,30,0
11338,F,82,2,2,8,0
11339,F,379,16,8,48,0
11340,F,263,8,2,14,0
11341,F,141,16,1,16,0
11342,M,287,6,2,10,0
11343,M,424,12,12,52,0
11344,F,118,16,6,46,0
11345,M,248,16,2,18,0
11346,F,94,16,5,44,0
11347,M,254,12,1,12,0
11348,F,269,8,1,8,0
11349,F,126,10,2,14,0
11350,M,149,6,2,12,0
11351,F,263,12,10,36,0
11352,F,169,16,4,34,0
11353,F,224,4,1,4,0
11354,F,342,16,3,32,0
11355,F,314,10,9,62,0
11356,F,323,8,11,70,0
11357,M,222,16,2,20,0
11358,F,205,16,1,16,0
11359,F,264,10,8,56,0
11360,M,152,6,1,6,0
11361,F,392,6,10,46,0
11362,F,206,26,9,48,0
11363,M,245,20,1,20,0
11364,F,477,20,12,68,0
11365,F,231,12,10,64,0
11366,F,143,10,1,10,0
11367,F,46,16,1,16,0
11368,F,320,6,2,8,0
11369,M,85,18,1,18,0
11370,F,88,12,1,12,0
11371,F,295,32,2,40,0
11372,F,59,12,3,26,0
11373,M,51,16,1,16,0
11374,F,161,8,9,26,0
11375,F,194,16,2,20,0
11376,F,179,12,1,12,0
11377,F,162,8,2,16,0
11378,F,183,10,1,10,0
11379,F,112,2,1,2,0
11380,F,192,16,2,20,0
11381,F,107,16,1,16,0
11382,M,345,6,6,30,0
11383,F,240,14,1,14,0
11384,F,266,20,11,66,0
11385,M,302,16,1,16,0
11386,F,151,14,2,20,0
11387,F,323,8,2,12,0
11388,F,325,12,4,26,0
11389,F,125,14,1,14,0
11390,F,168,10,2,18,0
11391,F,34,12,2,18,0
11392,F,69,2,1,2,0
11393,M,286,10,1,10,0
11394,F,275,8,10,62,0
11395,F,279,14,2,16,0
11396,F,76,12,2,20,0
11397,F,257,16,1,16,0
11398,M,392,4,10,38,1
11399,M,437,12,12,42,0
11400,F,249,14,4,30,1
11401,F,115,6,1,6,0
11402,F,268,14,6,48,0
11403,M,311,20,10,40,0
11404,M,157,10,1,10,0
11405,F,443,16,10,58,0
11406,F,54,12,3,24,0
11407,F,64,2,1,2,0
11408,F,273,12,1,12,0
11409,F,235,22,2,30,0
11410,M,212,6,1,6,0
11411,M,201,34,6,54,0
11412,M,207,16,1,16,0
11413,F,150,12,7,38,0
11414,F,142,2,2,8,0
11415,F,184,14,7,30,0
11416,F,381,22,11,76,0
11417,F,314,6,1,6,0
11418,F,19,10,1,10,0
11419,F,288,4,12,54,0
11420,F,195,32,4,50,0
11421,M,342,26,4,48,0
11422,F,310,2,1,2,1
11423,F,209,6,4,22,0
11424,M,279,36,1,36,0
11425,F,84,6,1,6,0
11426,F,315,16,12,60,0
11427,F,111,8,2,12,0
11428,M,136,18,4,26,0
11429,F,327,6,2,10,0
11430,F,404,16,9,68,0
11431,M,176,8,4,18,0
11432,F,176,8,11,64,1
11433,F,201,10,2,16,0
11434,F,238,18,6,42,0
11435,M,146,16,2,24,0
11436,M,236,16,2,22,0
11437,F,309,34,1,34,0
11438,F,126,14,2,16,0
11439,M,307,28,11,52,0
11440,F,259,18,5,40,0
11441,F,280,16,2,24,0
11442,F,149,8,1,8,0
11443,F,139,30,1,30,0
11444,F,276,10,2,14,1
11445,M,263,2,9,52,0
11446,M,266,6,1,6,0
11447,F,182,12,3,30,0
11448,F,341,8,5,30,0
11449,F,244,28,2,32,0
11450,F,212,6,1,6,0
11451,F,349,26,6,56,0
11452,F,215,30,1,30,0
11453,F,152,30,3,40,0
11454,F,244,10,2,14,0
11455,F,364,14,8,54,0
11456,F,211,14,1,14,0
11457,F,272,16,1,16,1
11458,F,224,16,1,16,0
11459,F,233,12,1,12,0
11460,F,129,14,2,20,0
11461,F,248,8,2,10,0
11462,M,17,22,1,22,0
11463,F,385,2,9,34,1
11464,F,305,28,2,36,0
11465,M,133,16,1,16,0
11466,F,229,16,1,16,0
11467,F,281,28,1,28,0
11468,F,337,20,5,38,0
11469,M,72,32,1,32,0
11470,F,401,14,12,78,0
11471,M,103,18,1,18,0
11472,M,283,16,6,30,0
11473,F,20,6,1,6,0
11474,M,86,14,5,40,1
11475,F,237,32,1,32,0
11476,F,33,30,2,36,0
11477,F,336,14,11,54,0
11478,F,135,2,2,6,0
11479,F,191,28,2,34,0
11480,F,409,14,8,54,0
11481,F,280,6,7,36,0
11482,F,203,6,1,6,0
11483,F,191,20,1,20,0
11484,F,151,12,4,34,0
11485,F,214,30,2,34,0
11486,F,229,8,2,12,0
11487,F,185,32,2,38,0
11488,M,171,14,10,44,0
11489,M,198,10,1,10,0
11490,F,69,8,1,8,0
11491,F,361,6,12,62,0
11492,F,291,12,1,12,0
11493,F,86,18,2,24,0
11494,F,227,2,9,42,0
11495,F,383,6,6,18,0
11496,F,246,6,1,6,0
11497,M,69,18,1,18,0
11498,F,128,8,1,8,0
11499,F,60,14,2,22,0
11500,F,182,12,2,16,0
11501,M,390,8,9,38,0
11502,F,307,2,1,2,0
11503,F,405,12,12,70,0
11504,F,236,12,2,18,0
11505,F,43,10,2,16,0
11506,F,275,2,2,10,0
11507,F,235,22,6,52,0
11508,F,175,14,8,50,0
11509,F,219,14,1,14,0
11510,F,245,24,5,46,0
11511,F,186,6,1,6,0
11512,M,205,6,2,10,0
11513,F,91,10,4,32,0
11514,F,92,4,1,4,0
11515,F,158,12,2,14,0
11516,F,75,14,1,14,0
11517,M,237,30,4,44,0
11518,M,327,16,2,24,0
11519,F,296,30,2,36,0
11520,F,355,10,10,44,0
11521,F,164,2,3,16,1
11522,F,182,10,4,32,0
11523,F,260,22,1,22,0
11524,F,369,2,9,42,0
11525,F,60,12,3,20,0
11526,M,158,6,9,56,1
11527,F,261,14,7,40,1
11528,F,424,2,10,34,0
11529,M,206,10,2,16,0
11530,F,319,4,2,10,0
11531,M,39,10,1,10,0
11532,M,148,16,4,38,0
11533,F,226,10,4,22,0
11534,F,162,16,4,24,0
11535,F,351,4,11,54,0
11536,F,333,2,8,34,0
11537,F,178,12,1,12,0
11538,F,285,2,2,10,0
11539,F,125,12,1,12,0
11540,F,138,10,1,10,0
11541,M,194,16,4,32,1
11542,F,83,10,2,12,0
11543,F,295,6,2,14,0
11544,F,17,10,1,10,0
11545,M,195,4,4,16,1
11546,M,55,2,1,2,0
11547,F,445,14,10,58,0
11548,F,307,14,6,30,0
11549,M,254,10,1,10,0
11550,F,193,8,1,8,0
11551,M,217,10,6,32,0
11552,F,178,14,1,14,0
11553,F,186,10,1,10,0
11554,F,128,32,5,48,0
11555,F,313,4,10,60,0
11556,F,186,12,2,18,0
11557,F,218,12,2,16,0
11558,F,133,6,4,18,0
11559,M,184,14,1,14,0
11560,F,71,8,1,8,0
11561,F,407,8,9,42,0
11562,F,223,12,1,12,0
11563,M,244,12,2,14,0
11564,M,120,10,1,10,0
11565,F,123,12,2,20,0
11566,F,238,10,7,24,0
11567,F,250,6,1,6,1
11568,F,474,12,12,46,1
11569,F,249,12,1,12,0
11570,F,200,2,2,8,0
11571,F,129,16,2,18,0
11572,M,50,28,1,28,0
11573,M,187,14,2,20,0
11574,F,265,4,2,8,0
11575,F,224,14,4,34,0
11576,F,262,12,2,20,0
11577,F,311,2,9,34,0
11578,M,193,28,1,28,0
11579,F,274,18,2,20,0
11580,F,161,8,4,22,0
11581,F,219,10,7,34,1
11582,F,381,28,7,60,0
11583,M,221,16,8,38,0
11584,M,88,14,2,22,0
11585,F,108,2,2,8,0
11586,F,286,14,1,14,0
11587,F,225,26,10,84,0
11588,M,111,14,1,14,0
11589,M,247,30,2,36,0
11590,F,393,14,9,58,0
11591,F,312,2,5,22,0
11592,F,370,4,12,66,0
11593,F,182,6,1,6,0
11594,F,256,14,1,14,0
11595,F,55,6,2,8,0
11596,F,247,14,12,68,0
11597,F,225,20,8,56,0
11598,F,105,6,1,6,0
11599,F,257,2,1,2,0
11600,F,33,28,1,28,0
11601,M,358,14,12,80,0
11602,M,395,12,7,46,0
11603,F,168,4,2,10,0
11604,M,44,4,2,12,0
11605,M,105,16,7,40,0
11606,F,87,2,2,10,0
11607,F,396,16,12,62,0
11608,M,235,6,7,44,0
11609,M,196,12,2,16,0
11610,M,391,8,9,48,0
11611,F,302,2,2,8,0
11612,F,126,6,2,8,0
11613,M,242,4,1,4,0
11614,M,229,14,10,62,0
11615,F,132,6,2,10,0
11616,M,122,8,7,26,1
11617,F,246,28,2,32,0
11618,F,304,4,2,12,0
11619,F,235,32,1,32,0
11620,F,151,14,2,20,0
11621,M,133,22,2,26,0
11622,F,170,4,1,4,1
11623,F,327,26,2,32,0
11624,F,196,8,1,8,0
11625,M,85,6,2,14,0
11626,F,127,10,1,10,0
11627,F,77,4,1,4,0
11628,M,287,16,6,42,0
11629,F,33,30,1,30,0
11630,M,362,14,10,64,0
11631,F,196,2,10,32,0
11632,M,347,14,4,28,0
11633,M,139,32,1,32,0
11634,M,170,10,1,10,0
11635,M,139,10,2,12,0
11636,F,232,8,10,62,0
11637,F,158,12,7,36,0
11638,F,288,6,2,8,0
11639,F,243,6,1,6,0
11640,F,139,16,9,58,0
11641,M,88,18,2,22,0
11642,F,203,26,1,26,0
11643,F,214,10,1,10,0
11644,F,186,12,2,20,0
11645,F,182,4,10,44,0
11646,M,187,10,1,10,0
11647,M,357,10,6,32,0
11648,M,77,12,1,12,0
11649,F,52,34,1,34,0
11650,F,161,22,9,58,0
11651,M,65,14,2,20,0
11652,F,97,2,2,10,0
11653,M,244,4,2,12,0
11654,M,92,8,1,8,0
11655,F,213,4,1,4,0
11656,F,198,4,1,4,0
11657,M,258,2,2,6,0
11658,M,306,8,1,8,1
11659,F,184,2,2,6,0
11660,F,114,10,2,14,0
11661,M,453,14,11,76,0
11662,F,232,20,1,20,0
11663,F,294,2,1,2,0
11664,M,326,16,2,18,0
11665,F,151,22,1,22,0
11666,F,288,8,2,14,0
11667,F,311,30,1,30,0
11668,F,193,22,1,22,0
11669,F,166,2,1,2,0
11670,M,135,4,2,8,0
11671,M,250,12,12,36,1
11672,F,102,2,1,2,0
11673,F,140,16,2,18,0
11674,M,233,18,11,68,0
11675,F,278,16,6,36,0
11676,M,276,14,2,16,1
11677,F,309,6,10,40,0
11678,F,71,14,1,14,0
11679,F,107,10,6,42,0
11680,F,30,4,1,4,0
11681,M,217,16,1,16,0
11682,F,260,34,12,94,0
11683,F,144,8,3,26,0
11684,F,53,6,2,14,0
11685,F,273,14,2,20,0
11686,F,439,8,10,54,0
11687,F,128,4,1,4,0
11688,M,246,8,2,16,0
11689,M,402,2,12,48,1
11690,F,362,14,5,42,0
11691,M,183,20,1,20,1
11692,M,187,14,9,38,0
11693,M,283,12,8,34,0
11694,M,101,32,1,32,0
11695,F,253,4,6,18,0
11696,M,310,12,3,22,0
11697,F,314,10,1,10,0
11698,F,139,18,1,18,0
11699,F,381,20,8,50,0
11700,M,241,10,8,44,0
11701,M,175,6,2,12,0
11702,M,403,14,8,32,0
11703,F,195,24,3,32,0
11704,F,140,10,1,10,0
11705,M,271,12,2,14,0
11706,M,236,14,1,14,0
11707,F,55,8,2,10,0
11708,F,222,16,2,22,0
11709,M,262,30,11,52,0
11710,F,281,18,8,38,0
11711,M,18,14,1,14,1
11712,F,153,10,1,10,0
11713,F,173,4,1,4,0
11714,F,205,12,1,12,0
11715,F,278,6,11,42,1
11716,F,171,24,7,58,0
11717,F,188,16,4,28,0
11718,M,72,14,1,14,0
11719,F,301,2,7,16,0
11720,F,59,8,3,18,0
11721,M,153,16,4,32,0
11722,F,168,10,2,16,0
11723,F,304,14,7,46,0
11724,F,228,12,1,12,0
11725,F,112,4,7,34,0
11726,F,435,14,10,58,0
11727,F,172,10,2,14,0
11728,M,112,14,1,14,0
11729,M,201,4,11,58,1
11730,F,184,22,1,22,0
11731,F,47,2,1,2,0
11732,F,79,12,1,12,0
11733,F,113,22,1,22,0
11734,F,313,4,1,4,0
11735,F,56,12,1,12,0
11736,F,294,34,5,64,0
11737,F,322,32,2,38,0
11738,M,183,14,4,22,0
11739,F,321,12,11,50,0
11740,M,24,8,1,8,0
11741,F,280,14,2,22,0
11742,F,328,2,2,6,0
11743,F,185,6,1,6,0
11744,F,230,22,2,26,0
11745,F,248,28,4,38,0
11746,F,106,2,1,2,0
11747,M,89,16,2,22,0
11748,F,203,18,1,18,0
11749,F,304,16,2,18,0
11750,F,167,6,1,6,0
11751,F,84,14,1,14,0
11752,F,350,2,7,40,1
11753,F,84,16,1,16,0
11754,F,110,30,2,38,0
11755,F,52,18,2,24,0
11756,F,191,8,12,68,0
11757,F,72,12,1,12,0
11758,F,248,36,2,40,0
11759,F,436,2,11,44,0
11760,M,204,4,1,4,0
11761,F,288,18,2,26,0
11762,F,284,10,2,14,0
11763,M,105,10,1,10,0
11764,F,168,16,5,28,0
11765,F,57,24,1,24,0
11766,M,164,12,3,24,0
11767,M,97,16,2,24,0
11768,F,167,12,1,12,0
11769,M,93,14,4,24,0
11770,F,338,10,6,38,0
11771,F,239,4,10,60,0
11772,M,281,6,4,16,0
11773,F,281,10,7,24,0
11774,F,369,12,9,32,0
11775,M,120,12,2,18,0
11776,F,252,6,2,10,0
11777,F,246,4,9,22,0
11778,F,46,10,2,16,0
11779,F,203,2,11,54,0
11780,F,136,22,1,22,0
11781,F,290,22,2,30,0
11782,F,204,28,5,46,0
11783,F,321,12,10,48,0
11784,F,32,12,1,12,0
11785,F,178,30,2,34,0
11786,F,317,10,2,16,0
11787,F,180,34,2,42,0
11788,F,130,12,1,12,1
11789,F,161,28,6,44,0
11790,F,157,8,1,8,0
11791,M,122,34,5,52,0
11792,F,323,16,8,42,0
11793,F,154,12,2,16,0
11794,F,162,16,2,18,0
11795,F,120,16,5,40,0
11796,M,177,30,9,76,0
11797,F,137,6,3,16,0
11798,F,166,10,1,10,0
11799,F,90,10,2,14,0
11800,F,128,4,2,6,0
11801,F,59,12,1,12,0
11802,M,48,16,2,22,0
11803,F,408,8,12,76,0
11804,F,181,12,4,32,0
11805,F,292,14,1,14,0
11806,M,333,2,6,16,1
11807,F,80,16,1,16,0
11808,M,281,2,5,30,0
11809,F,311,24,1,24,0
11810,M,169,4,11,50,1
11811,F,20,6,1,6,0
11812,F,281,8,11,30,1
11813,F,226,2,1,2,0
11814,M,297,16,4,32,0
11815,F,73,12,2,18,0
11816,F,130,12,1,12,0
11817,M,123,4,2,10,0
11818,F,164,14,2,20,0
11819,F,181,6,1,6,1
11820,M,197,26,1,26,0
11821,F,287,10,1,10,0
11822,M,278,34,11,64,0
11823,M,467,6,12,70,0
11824,F,329,4,2,6,0
11825,F,432,12,11,76,0
11826,M,258,2,11,38,0
11827,F,163,18,4,28,0
11828,F,63,6,4,18,0
11829,F,268,36,10,72,0
11830,F,25,2,1,2,0
11831,M,22,14,1,14,0
11832,M,39,12,2,16,0
11833,M,80,16,2,20,0
11834,F,285,8,6,44,0
11835,F,82,12,2,14,0
11836,F,130,12,6,34,0
11837,F,218,22,1,22,0
11838,F,448,12,12,48,0
11839,M,264,8,1,8,0
11840,F,145,6,2,8,0
11841,M,187,12,1,12,0
11842,M,155,28,6,50,0
11843,F,190,12,2,14,0
11844,F,37,16,2,22,0
11845,F,246,6,9,40,0
11846,M,200,8,3,24,0
11847,M,188,28,2,36,0
11848,F,294,2,1,2,0
11849,M,144,10,1,10,0
11850,M,121,4,5,34,0
11851,M,419,14,11,36,1
11852,M,473,30,12,66,0
11853,F,302,4,2,8,0
11854,F,245,12,9,46,0
11855,M,236,10,3,16,1
11856,F,36,12,2,18,0
11857,F,58,22,2,28,0
11858,F,220,16,3,24,0
11859,M,183,4,2,6,0
11860,M,240,10,9,54,0
11861,F,221,24,12,56,0
11862,F,235,6,6,36,0
